"locationTags.href","locationTags.text"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c42-t230-Goa.html","Literary, Art & Music Tours (1)"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c58-t113-Goa.html","Concerts (1)"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c61-t186-Goa.html","Gear Rentals (3)"
"https://www.tripadvisor.in/Attraction_Review-g312680-d2708777-Reviews-Chapora_Beach-Arpora_Goa.html","Chapora Beach"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c56-t208-Goa.html","Room Escape Games (1)"
"https://www.tripadvisor.in/Attraction_Review-g306996-d1755259-Reviews-Cabo_de_Rama_Fort-Canacona_Goa.html","Cabo de Rama Fort"
"https://www.tripadvisor.in/Attraction_Review-g2307943-d3735595-Reviews-Keri_Beach_Querim_Beach-Arambol_Goa.html","Keri Beach (Querim Beach)"
"https://www.tripadvisor.in/Attraction_Review-g1438385-d1973470-Reviews-Mapusa_Friday_Bazaar-Mapusa_Goa.html","Mapusa Friday Bazaar"
"https://www.tripadvisor.in/Attraction_Review-g306993-d4138914-Reviews-Ozran_Beach-Bardez_Goa.html","Ozran Beach"
"https://www.tripadvisor.in/Attraction_Review-g303877-d3731045-Reviews-Patnem_Colomb_Beach-Panaji_Goa.html","Patnem-Colomb Beach"
"https://www.tripadvisor.in/Attraction_Review-g1584785-d3296725-Reviews-Tropical_Spice_Plantation-Ponda_Goa.html","Tropical Spice Plantation"
"https://www.tripadvisor.in/Attraction_Review-g303877-d320661-Reviews-St_Cajetan_s_Church-Panaji_Goa.html","St. Cajetan's Church"
"https://www.tripadvisor.in/Attraction_Review-g303877-d2708792-Reviews-Church_and_Monastery_of_St_Augustine-Panaji_Goa.html","Church and Monastery of St Augustine"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c20-t99-Goa.html","Bars & Clubs (29)"
"https://www.tripadvisor.in/Attraction_Review-g1152662-d2616467-Reviews-Margao_Market-Margao_Goa.html","Margao Market"
"https://www.tripadvisor.in/Attraction_Review-g303877-d3705133-Reviews-Reis_Magos_Fort-Panaji_Goa.html","Reis Magos Fort"
"https://www.tripadvisor.in/Attraction_Review-g1204880-d3140391-Reviews-Bogmalo_Beach-Vasco_da_Gama_Goa.html","Bogmalo Beach"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c56-t210-Goa.html","Shooting Ranges (1)"
"https://www.tripadvisor.in/Attraction_Review-g306996-d3928179-Reviews-Galjibaga_Beach-Canacona_Goa.html","Galjibaga Beach"
"https://www.tripadvisor.in/Attraction_Review-g1092070-d2209802-Reviews-Naval_Aviation_Museum-Bogmalo_Goa.html","Naval Aviation Museum"
"https://www.tripadvisor.in/Attraction_Review-g303877-d6419452-Reviews-Church_of_the_Immaculate_Conception_of_the_Virgin_Mary-Panaji_Goa.html","Church of the Immaculate Conception of the Virgin Mary"
"https://www.tripadvisor.in/Attraction_Review-g1152662-d2711469-Reviews-Church_of_Holy_Spirit-Margao_Goa.html","Church of Holy Spirit"
"https://www.tripadvisor.in/Attraction_Review-g2037406-d2493135-Reviews-Tanshikar_s_Working_Organic_Spice_Farm-Sanguem_Goa.html","Tanshikar's Working Organic Spice Farm"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c40-t127-Goa.html","Spas (38)"
"https://www.tripadvisor.in/Attraction_Review-g3175983-d3140384-Reviews-Palacio_do_Deao-Quepem_Goa.html","Palacio do Deao"
